UUOD 21 108.81360000000001 50.0 21 51.6617556 39.2671694 03 51.6446199 39.2461027 10990 217.35000000000582
UUBC 31 202.9968 45.0 31 54.540533 36.3812639 13 54.556497 36.3612248 11170 323.95100000000093
EDDL 05R 44.196000000000005 45.11 05R 51.2796082 6.7520086 23L 51.2959188 6.7862108 11015 52.70899999999892
EDDL 23L 44.196000000000005 45.11 23L 51.2959188 6.7862108 05R 51.2796082 6.7520086 10990 232.70900000000256
EDDL 05L 44.196000000000005 45.11 05L 51.2836703 6.7486745 23R 51.2983813 6.7795555 11095 52.702000000001135
EDDL 23R 44.196000000000005 45.11 23R 51.2983813 6.7795555 05L 51.2836703 6.7486745 10930 232.70200000000477
ESKN 26 42.672000000000004 45.0 26 58.789763 16.9297603 08 58.7866465 16.8803617 11190 263.1000000000058
LFQT 22 18.288 29.87 22 50.6249528 2.6501556 04 50.6118333 2.63435 10935 217.3990000000049
CYXE 09 503.8344 46.0 09 52.1785544 -106.7181317 27 52.1741836 -106.6817944 10990 101.0580000000009
PAKN 12 19.5072 45.72 12 58.6839312 -156.6647608 30 58.6676847 -156.629956 11030 131.91999999999825
UNBB 24 254.508 50.0 24 53.3681291 83.5594776 06 53.3582698 83.5199305 10870 247.33699999999953
ENHD 13 23.1648 45.11 13 59.3506646 5.1975401 31 59.3373664 5.2241915 10910 134.36499999999796
EGNM 14 207.5688 46.02 14 53.8735247 -1.6722729 32 53.858551 -1.6493161 11090 137.81700000000274
EGNM 32 207.5688 46.02 32 53.858551 -1.6493161 14 53.8735247 -1.6722729 11090 317.81699999999546
EKOD 24 17.0688 45.0 24 55.47983 10.3405 06 55.47078 10.31318 10835 239.71799999999348
EGXW 20 70.4088 60.96 20 53.17756 -0.516331 02 53.154664 -0.531481 11070 204.06900000000314
EGYD 26 66.1416 45.11 26 53.0309226 -0.477363 08 53.0285515 -0.5081387 10850 262.69400000000314
UASS 26 221.89440000000002 45.0 26 50.353289 80.255414 08 50.350228 80.212119 11030 263.6900000000023
EPZG 24 58.52160000000001 60.05 24 52.1433232 15.8150532 06 52.1337037 15.782041 11130 244.61500000000524
EYSA 14L 134.4168 45.11 14L 55.9069113 23.3793735 32R 55.880817 23.410597 10830 146.16199999999662
EYSA 32R 134.4168 45.11 32R 55.880817 23.410597 14L 55.9069113 23.3793735 10870 326.1619999999966
EGNX 09 93.2688 46.02 09 52.8306143 -1.3495515 27 52.8313932 -1.3066554 10935 88.28299999999945
EGNX 27 93.2688 46.02 27 52.8313932 -1.3066554 09 52.8306143 -1.3495515 10935 268.2829999999958
EGMC 05 12.4968 36.88 05 51.5659284 0.6833374 23 51.5757266 0.7051023 11135 54.10699999999997
EGMC 23 12.4968 36.88 23 51.5757266 0.7051023 05 51.5659284 0.6833374 11135 234.1070000000036
EGNO 25 16.764 46.02 25 53.7484442 -2.8665001 07 53.7414334 -2.9011662 10990 251.13700000000244
EPCE 25 153.6192 60.0 25 54.4189254 17.782007 07 54.4134912 17.7443913 11130 256.1530000000057
UWOR 07 277.0632 42.06 07 51.0695169 58.5754744 25 51.0755098 58.6158661 10955 76.70599999999831
